album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Top 100 Songs - SPB,14,0NGo32xKMCcLw5Hul3RTZN,Deepavali,spotify:track:0NGo32xKMCcLw5Hul3RTZN,0.256,0.769,0.78,3.32e-05,0.0823,-4.872,0.0427,101.354,0.729,1
Top 100 Songs - SPB,15,15s9eFBCFonattFsLzSS3e,Nungona Baa,spotify:track:15s9eFBCFonattFsLzSS3e,0.408,0.84,0.744,3e-05,0.314,-6.833,0.123,113.907,0.601,1
Top 100 Songs - SPB,16,47q4l9RH9sTzXkge4bcJ7X,I Love You Andarenu,spotify:track:47q4l9RH9sTzXkge4bcJ7X,0.148,0.725,0.52,5.52e-06,0.0603,-9.101,0.0586,131.928,0.59,1
Top 100 Songs - SPB,19,0joW3IPfI6m0pWqo8bTvRT,Kamalamukhi,spotify:track:0joW3IPfI6m0pWqo8bTvRT,0.392,0.846,0.81,5.2e-06,0.112,-6.043,0.168,128.007,0.889,0
Top 100 Songs - SPB,20,4fKGgA4fgXEuGHQwKHhEp0,Ee Kalpane,spotify:track:4fKGgA4fgXEuGHQwKHhEp0,0.0667,0.781,0.6,0.0,0.214,-7.475,0.0401,87.297,0.595,0
Top 100 Songs - SPB,21,1PN819WHdhepoPBHoYnNCz,Malligeye Malligeye,spotify:track:1PN819WHdhepoPBHoYnNCz,0.455,0.727,0.655,3.2e-06,0.138,-7.351,0.052,78.809,0.669,1
Hum Aapke Hain Koun - Jhankar Beats,12,3Cowc0fgeMLdVJVF2HR9eb,Lo Chali Main - Jhankar Beats,spotify:track:3Cowc0fgeMLdVJVF2HR9eb,0.0756,0.661,0.459,2.31e-05,0.108,-11.572,0.12,158.355,0.945,1
Swara Sangeethotsava - SPB And K.S Chithra Hits,2,7qPjPdPvh97mC8i5oG4oGA,Andhu Megha Sandesha,spotify:track:7qPjPdPvh97mC8i5oG4oGA,0.561,0.5,0.491,2.84e-06,0.316,-5.892,0.031,175.981,0.473,10
Swara Sangeethotsava - SPB And K.S Chithra Hits,5,59qECinoKHpBRfqYFGYg0D,Belli Gejje,spotify:track:59qECinoKHpBRfqYFGYg0D,0.539,0.62,0.597,0.0,0.441,-5.847,0.0482,151.926,0.486,5
Swara Sangeethotsava - SPB And K.S Chithra Hits,6,2g83t8kj3CGIC9ZEXWv91L,Baalige Obbale,spotify:track:2g83t8kj3CGIC9ZEXWv91L,0.5,0.695,0.721,3.65e-06,0.16,-4.388,0.0513,132.7,0.556,5
Swara Sangeethotsava - SPB And K.S Chithra Hits,7,5aL8XVIpMBPiiJdvkFRtmg,Pada Pada Seri,spotify:track:5aL8XVIpMBPiiJdvkFRtmg,0.347,0.663,0.801,1.78e-05,0.0849,-5.085,0.071,84.85,0.786,6
Swara Sangeethotsava - SPB And K.S Chithra Hits,11,25XwmGii3xgQFF6DZGr0PI,Thavarige Baa Thangi,spotify:track:25XwmGii3xgQFF6DZGr0PI,0.67,0.572,0.649,1.24e-06,0.157,-6.512,0.0612,86.928,0.401,6
Swara Sangeethotsava - SPB And K.S Chithra Hits,12,3UlJDVvsU01WrcjKnYOf1e,Chukki Chukki,spotify:track:3UlJDVvsU01WrcjKnYOf1e,0.137,0.816,0.801,0.0,0.189,-4.891,0.117,107.958,0.792,4
Swara Sangeethotsava - SPB And K.S Chithra Hits,14,3drRVUFGyE5WXnMk4vkaRq,Nanna Manasina,spotify:track:3drRVUFGyE5WXnMk4vkaRq,0.575,0.748,0.666,2.42e-06,0.143,-6.222,0.0286,118.093,0.763,3
Swara Sangeethotsava - SPB And K.S Chithra Hits,15,5qePq9yO2pANxxd0W5II2T,Dhim Dhim,spotify:track:5qePq9yO2pANxxd0W5II2T,0.498,0.648,0.705,4.86e-06,0.337,-6.97,0.0514,95.911,0.517,3
Swara Sangeethotsava - SPB And K.S Chithra Hits,16,1qbyIW33hqrzhUDuzlGvZT,Ee Kalpane,spotify:track:1qbyIW33hqrzhUDuzlGvZT,0.065,0.783,0.616,0.0,0.249,-6.928,0.0388,87.352,0.6,3
Swara Sangeethotsava - SPB And K.S Chithra Hits,17,2pL0GjNUO6e1wdjUUUGL2A,Sarigama[Duet],spotify:track:2pL0GjNUO6e1wdjUUUGL2A,0.292,0.707,0.618,1.98e-06,0.112,-7.627,0.0417,129.999,0.544,10
Swara Sangeethotsava - SPB And K.S Chithra Hits,19,78QSv5jsJEGCucBL7uvhkm,Kanchana Mina Mina,spotify:track:78QSv5jsJEGCucBL7uvhkm,0.57,0.609,0.69,0.0,0.356,-6.428,0.0377,85.511,0.725,2
Swara Sangeethotsava - SPB And K.S Chithra Hits,20,5nik1GwasWGSCVOkN42e77,Yenri Idu Yenri,spotify:track:5nik1GwasWGSCVOkN42e77,0.78,0.634,0.653,2.13e-05,0.123,-6.911,0.0603,137.879,0.489,2
Aanada Srinivasam,1,1fhkMvpPFErxY61gHo55c8,Andakheeyam,spotify:track:1fhkMvpPFErxY61gHo55c8,0.716,0.542,0.365,0.0,0.101,-8.956,0.0327,99.318,0.585,0
Aanada Srinivasam,2,2XpfQXk6u5XzS8NnTMoGyF,Bangaru Vakilini,spotify:track:2XpfQXk6u5XzS8NnTMoGyF,0.621,0.639,0.393,0.0,0.064,-8.825,0.0255,95.052,0.613,0
Aanada Srinivasam,3,2kuTrYOIDPoaojAhE04TSN,Deva Karunamaya,spotify:track:2kuTrYOIDPoaojAhE04TSN,0.739,0.71,0.43,0.0,0.293,-9.206,0.0408,99.991,0.644,0
Aanada Srinivasam,4,6Xta9rb18HNGZMcEpeOF0v,Govinda Sritha,spotify:track:6Xta9rb18HNGZMcEpeOF0v,0.692,0.624,0.428,6.21e-06,0.0845,-9.143,0.0267,109.957,0.705,0
Aanada Srinivasam,5,1K2Y5vTcoYmfYAlJc02Txy,Govindasritha,spotify:track:1K2Y5vTcoYmfYAlJc02Txy,0.668,0.631,0.405,0.0,0.301,-8.169,0.0266,109.978,0.866,0
Aanada Srinivasam,6,1ahr7fGj0gM5EbEoGOiy1r,Neevundu Konda,spotify:track:1ahr7fGj0gM5EbEoGOiy1r,0.799,0.685,0.318,0.0,0.0745,-9.568,0.0304,96.082,0.554,0
Aanada Srinivasam,7,71Ps44pf9J1L0DDhjl2MVd,Ramudokkade,spotify:track:71Ps44pf9J1L0DDhjl2MVd,0.625,0.445,0.409,0.0,0.0505,-10.276,0.0417,164.764,0.837,0
Aanada Srinivasam,8,2frUgrWksUp7cxH2dPPzPh,Slokam,spotify:track:2frUgrWksUp7cxH2dPPzPh,0.834,0.42,0.158,2.8e-05,0.0778,-12.587,0.0365,136.179,0.57,0
Aanada Srinivasam,9,2iYMtS7qPR3dnGbdjXLe0a,Sridevi Bhoodevi,spotify:track:2iYMtS7qPR3dnGbdjXLe0a,0.773,0.399,0.417,1.46e-06,0.0718,-10.236,0.0337,94.212,0.71,0
Aanada Srinivasam,10,4uRyeGaUnL6DipUPd6CRPv,Yemi Soundaryamu,spotify:track:4uRyeGaUnL6DipUPd6CRPv,0.701,0.722,0.346,6.74e-06,0.0811,-9.496,0.0418,149.955,0.857,0
Manukulada Daiva Manjunatha,1,1ZrYlHZPER9Tz36JHNVq4G,Manjunathane Mruthyonjayane,spotify:track:1ZrYlHZPER9Tz36JHNVq4G,0.509,0.463,0.517,1.37e-06,0.17,-11.796,0.0748,77.999,0.556,0
Manukulada Daiva Manjunatha,2,5XTuWUZ5umj8cMOvQuY2lr,Shivagange Shiradinda,spotify:track:5XTuWUZ5umj8cMOvQuY2lr,0.623,0.69,0.48,1.4e-05,0.0721,-11.277,0.0368,155.852,0.892,0
Manukulada Daiva Manjunatha,3,7gA29ACakQxL3d00zXU3V2,Karunadinalli Janmadanya,spotify:track:7gA29ACakQxL3d00zXU3V2,0.401,0.626,0.388,0.0,0.311,-11.475,0.0448,82.968,0.774,0
Manukulada Daiva Manjunatha,4,0smT8a2crjHEjkZuXSrhPL,Dayaye Dharmada Mulla,spotify:track:0smT8a2crjHEjkZuXSrhPL,0.521,0.702,0.373,9.98e-06,0.0591,-13.699,0.0375,85.999,0.843,0
Manukulada Daiva Manjunatha,5,1PUsBjhorSKWCPWRHmjWlu,Chandrashekara Ninna,spotify:track:1PUsBjhorSKWCPWRHmjWlu,0.419,0.643,0.45,1.35e-05,0.0569,-11.56,0.0409,81.938,0.899,0
Manukulada Daiva Manjunatha,6,43mHFNhESUunsGVtzucZsI,Yenetha Maye Thande,spotify:track:43mHFNhESUunsGVtzucZsI,0.28,0.735,0.481,0.0,0.0576,-12.59,0.0426,154.031,0.871,0
Manukulada Daiva Manjunatha,7,55dZpdwKPXZ67pE8W90VpK,Thanvu Mananvu Ninnalirisi,spotify:track:55dZpdwKPXZ67pE8W90VpK,0.594,0.668,0.427,0.0,0.0918,-12.497,0.0387,159.975,0.851,0
Radha Madhava Vilasa,1,4Lv3D2J56EmoSNZX4V072J,Bagebage Hoogala,spotify:track:4Lv3D2J56EmoSNZX4V072J,0.89,0.431,0.365,5.26e-06,0.443,-8.642,0.0328,88.29,0.519,0
Radha Madhava Vilasa,2,61EQ7G1rWx2rsPpBt9JLKB,Charu Hasini Lalitha Mohane,spotify:track:61EQ7G1rWx2rsPpBt9JLKB,0.882,0.58,0.371,2.03e-05,0.345,-7.96,0.0274,82.319,0.529,0
Radha Madhava Vilasa,3,591yL5qNHcpslGlx8tmzNW,Hoguve Yethake,spotify:track:591yL5qNHcpslGlx8tmzNW,0.901,0.5,0.362,3.28e-06,0.297,-9.565,0.0381,77.929,0.579,0
Radha Madhava Vilasa,5,5afZl0Dacs9ZXX2WuKmpO0,Nee Banda Dinadinda,spotify:track:5afZl0Dacs9ZXX2WuKmpO0,0.836,0.603,0.289,2.21e-05,0.146,-9.321,0.0273,102.567,0.502,0
Radha Madhava Vilasa,6,4r7tzJTLy2NViNAnUWzvJS,Neene Nandhana,spotify:track:4r7tzJTLy2NViNAnUWzvJS,0.888,0.365,0.325,7.27e-06,0.477,-8.457,0.0339,178.025,0.634,0
Radha Madhava Vilasa,7,4qxyy4nbDpJwiMOhV7iV3s,Neene Sundari,spotify:track:4qxyy4nbDpJwiMOhV7iV3s,0.856,0.565,0.376,0.000109,0.441,-8.998,0.0379,86.646,0.608,0
Radha Madhava Vilasa,8,2AmNYJ40DbIZHsQvOgBGrF,Radhike Baarade,spotify:track:2AmNYJ40DbIZHsQvOgBGrF,0.894,0.506,0.365,0.0,0.379,-8.665,0.0383,81.04,0.661,0
Denna Dennana,1,5CUXHKkfejM5Acbxsu2zZ5,Appe Mole,spotify:track:5CUXHKkfejM5Acbxsu2zZ5,0.531,0.692,0.515,0.0,0.481,-9.468,0.0378,97.96,0.8,0
Denna Dennana,3,05fTwnDbkGfMT2L8xGakdG,Denna Dennana,spotify:track:05fTwnDbkGfMT2L8xGakdG,0.442,0.771,0.54,1.82e-05,0.445,-11.264,0.066,80.934,0.96,0
Denna Dennana,4,3JXYXzCC7DQSFqXhlgPCTM,Dharmanaadere Bathe,spotify:track:3JXYXzCC7DQSFqXhlgPCTM,0.567,0.665,0.586,0.0,0.222,-10.082,0.06,157.946,0.85,0
Denna Dennana,5,3yEvd3EE8StglD6msrISdt,Mallige Mudithinaal,spotify:track:3yEvd3EE8StglD6msrISdt,0.38,0.731,0.43,0.0,0.221,-11.968,0.0481,127.014,0.836,0
Denna Dennana,6,3jM2wpAO9WeEGoBGxFX5ib,Mangaladevi Jayagowri,spotify:track:3jM2wpAO9WeEGoBGxFX5ib,0.608,0.802,0.533,0.0,0.272,-10.4,0.0412,140.008,0.921,0
Denna Dennana,7,0bPigqq0nc2TeWpAWweQ3B,Manjunathana Smarane Malthana,spotify:track:0bPigqq0nc2TeWpAWweQ3B,0.368,0.73,0.527,0.0,0.193,-8.902,0.0955,152.961,0.892,0
Denna Dennana,8,1V54IQ6k76nMjEmKTqbFs9,Mella Mella Yennade Balla,spotify:track:1V54IQ6k76nMjEmKTqbFs9,0.703,0.623,0.459,0.0,0.577,-8.659,0.0362,162.835,0.833,0
Harivarasanam,1,52eh6zu8qLnrrYvIYtDCOz,Harivarasanam,spotify:track:52eh6zu8qLnrrYvIYtDCOz,0.755,0.626,0.496,0.0,0.206,-7.894,0.0544,140.86,0.805,1
Harivarasanam,2,7G88nuKBVRrSOXc8KJiUX2,Sri Sabari Giri Ashtakam,spotify:track:7G88nuKBVRrSOXc8KJiUX2,0.556,0.714,0.612,0.0,0.142,-7.188,0.0401,75.053,0.803,0
Harivarasanam,3,6dkczTVUmkmRAB4V9lAgrs,Namaska Slokam,spotify:track:6dkczTVUmkmRAB4V9lAgrs,0.663,0.64,0.471,0.0,0.0951,-8.429,0.043,79.992,0.568,0
Harivarasanam,4,3peQcPmrP7roncFwJEfzUd,Sri Bhootha Nadha Stothram,spotify:track:3peQcPmrP7roncFwJEfzUd,0.599,0.781,0.588,1.63e-06,0.235,-6.378,0.0399,123.092,0.814,0
Harivarasanam,5,5YJtjP30PEJqnRW0zLJLSC,Sri Vinayaka Stuthi,spotify:track:5YJtjP30PEJqnRW0zLJLSC,0.903,0.299,0.212,2.07e-05,0.214,-9.297,0.0341,135.993,0.308,0
Harivarasanam,6,5W4BoZ7cp4bLcoXEw7JtTh,Sri Ayyappa Suprabhatham,spotify:track:5W4BoZ7cp4bLcoXEw7JtTh,0.907,0.414,0.524,0.0,0.154,-8.009,0.0644,78.57,0.502,0
Harivarasanam,7,2cAiXA1BSPXW8kyoM4gE0D,Maladharana Stothram,spotify:track:2cAiXA1BSPXW8kyoM4gE0D,0.945,0.271,0.169,3.2e-06,0.112,-8.537,0.0334,74.998,0.151,0
Harivarasanam,8,7EUVglNmvZ5mo8ciNkVOF2,Maalavimochana Stothram,spotify:track:7EUVglNmvZ5mo8ciNkVOF2,0.847,0.309,0.265,0.0,0.291,-7.903,0.0288,135.856,0.198,0
Harivarasanam,9,2iV5KFfTSc1QSVaqpuGGUp,Sri Ayyappa Ashtothra Sathanamali,spotify:track:2iV5KFfTSc1QSVaqpuGGUp,0.832,0.365,0.376,0.0,0.178,-7.469,0.0337,87.872,0.423,0
Harivarasanam,10,47wMDZjWKrikBHedT1X0mU,Sri Ayyappa Pancharatnam,spotify:track:47wMDZjWKrikBHedT1X0mU,0.969,0.497,0.357,0.0,0.32,-8.515,0.0568,68.657,0.298,0
Harivarasanam,1,1htKIFdqECKDw4TNs8ZUjQ,Ashtothara Shathanamavali,spotify:track:1htKIFdqECKDw4TNs8ZUjQ,0.838,0.423,0.381,0.0,0.164,-7.452,0.0345,133.735,0.43,0
Harivarasanam,2,1sBclVYKK642unHIKufRxx,Ayyappa Pancharathnam,spotify:track:1sBclVYKK642unHIKufRxx,0.967,0.55,0.355,0.0,0.284,-8.474,0.0471,112.829,0.303,0
Harivarasanam,3,6Ra9Dzg0qY6pAieZ8RkdSq,Ayyappa Suprabhatam,spotify:track:6Ra9Dzg0qY6pAieZ8RkdSq,0.907,0.407,0.522,0.0,0.128,-7.972,0.073,73.683,0.489,0
Harivarasanam,4,1Qt7aAVYSJy6PJHPNkRyb5,Bhootanadha Stotram,spotify:track:1Qt7aAVYSJy6PJHPNkRyb5,0.615,0.783,0.593,1.56e-06,0.227,-6.334,0.0409,123.092,0.811,0
Harivarasanam,5,0rOSdCGyx55vJn5wZ7U2nX,Harivarasanam,spotify:track:0rOSdCGyx55vJn5wZ7U2nX,0.752,0.637,0.509,0.0,0.133,-7.862,0.0514,140.898,0.812,1
Harivarasanam,6,69ni6SumXEU9I9YPfZuTlt,Mala Vimochana Stothram,spotify:track:69ni6SumXEU9I9YPfZuTlt,0.832,0.286,0.265,0.0,0.197,-7.754,0.0288,140.893,0.222,0
Harivarasanam,7,1wJ2yxVY4s4ZYziU86joIt,Maladharana Stothram,spotify:track:1wJ2yxVY4s4ZYziU86joIt,0.949,0.276,0.18,2.57e-06,0.137,-8.532,0.0352,174.157,0.166,0
Harivarasanam,8,1XBSK7WV0ZLQdR04K8rzP2,Namaskara Slokam,spotify:track:1XBSK7WV0ZLQdR04K8rzP2,0.622,0.553,0.477,0.0,0.0947,-8.38,0.0527,79.849,0.545,0
Harivarasanam,9,1uCN1g27pTYqD0YmuHLufC,Sabarigiri Ashtakam,spotify:track:1uCN1g27pTYqD0YmuHLufC,0.578,0.711,0.614,0.0,0.141,-7.144,0.042,75.061,0.792,0
Harivarasanam,10,4JN68ysARPOfv9rspkyVEe,Vinayaka Stuthi,spotify:track:4JN68ysARPOfv9rspkyVEe,0.909,0.301,0.232,9.8e-06,0.271,-9.277,0.0373,70.469,0.236,0
Bhakthi Loka,4,6VtFEpKh0r8FuLqqradtsr,Nene Manave Sri Ramana Namava,spotify:track:6VtFEpKh0r8FuLqqradtsr,0.912,0.647,0.644,6.63e-05,0.406,-6.679,0.125,96.778,0.728,0
Bhakthi Loka,6,5MZ8UOvvxWUDmxtHIIcA6k,Enu Dhanyano Hanuma,spotify:track:5MZ8UOvvxWUDmxtHIIcA6k,0.74,0.546,0.509,0.0,0.26,-9.174,0.0801,179.25,0.739,0
Bhakthi Loka,7,2gp7xaHTTWR3unpx7d7Tda,Sri Sathyanarayana,spotify:track:2gp7xaHTTWR3unpx7d7Tda,0.734,0.511,0.513,3.97e-06,0.283,-9.028,0.169,107.882,0.672,0
Bhakthi Loka,8,7fWtCjOStceTLE5NDg7uOQ,Udupiya Kshetradi Krishna,spotify:track:7fWtCjOStceTLE5NDg7uOQ,0.804,0.789,0.536,0.0,0.304,-9.275,0.111,102.924,0.641,0
